generation,N_shifts,logPrior,logLik,eventRate,acceptRate
7850000,51,-164.723,-11419.7,54.4742,0.3006
7860000,51,-173.364,-11385.8,47.3365,0.3045
7870000,62,-193.542,-11367.6,49.1572,0.308
7880000,64,-210.713,-11336.3,72.8546,0.3017
7890000,53,-176.005,-11317.5,40.5727,0.3028
7900000,48,-163.068,-11375.5,49.157,0.3048
7910000,53,-191.723,-11399.1,50.1003,0.3002
7920000,53,-183.677,-11433.7,60.0509,0.306
7930000,43,-161.329,-11428.9,53.7907,0.3076
7940000,50,-174.453,-11425.2,40.4074,0.3029
7950000,50,-168.466,-11449.6,47.5273,0.3056
7960000,56,-179.031,-11458.6,51.6379,0.3174
7970000,48,-164.194,-11468.6,52.5114,0.3079
7980000,44,-146.313,-11505,46.1971,0.3132
7990000,49,-160.631,-11476.5,39.6151,0.3133
8000000,46,-160.443,-11420.9,43.5695,0.3054
8010000,49,-166.622,-11377,48.467,0.3145
8020000,46,-162.284,-11406.6,42.5501,0.3094
8030000,56,-203.93,-11480.9,35.8001,0.3189
8040000,71,-241.847,-11415.4,58.2904,0.3082
8050000,60,-195.941,-11460.9,56.0809,0.3191
8060000,64,-211.482,-11394.8,69.5769,0.3054
8070000,57,-187.322,-11382.6,61.3896,0.3122
8080000,55,-173.751,-11370.5,51.1667,0.3073
8090000,58,-185.557,-11353.2,48.3781,0.3072
8100000,55,-182.497,-11411.8,57.6348,0.3043
8110000,76,-242.77,-11393.9,70.6459,0.3092
8120000,68,-231.461,-11380.7,70.2334,0.309
8130000,69,-231.298,-11419.6,57.7387,0.3081
8140000,51,-175.694,-11354.9,59.1171,0.311
8150000,53,-177.251,-11365.3,55.762,0.3051
8160000,51,-175.549,-11352.8,55.4147,0.3014
8170000,49,-164.177,-11338.4,51.6979,0.3108
8180000,56,-186.311,-11392.9,53.8745,0.3005
8190000,58,-194.205,-11433.8,61.4903,0.3089
8200000,60,-206.971,-11449.3,56.4995,0.3119
8210000,58,-189.145,-11443.2,61.3195,0.3147
8220000,58,-185.577,-11507.2,52.8635,0.3173
8230000,59,-197.691,-11483.3,52.3183,0.3124
8240000,60,-207.75,-11482.1,54.8288,0.3131
8250000,55,-180.994,-11489.3,41.8165,0.3212
