generation,N_shifts,logPrior,logLik,eventRate,acceptRate
2450000,33,-105.775,-10760.8,34.5448,0.4456
2460000,43,-118.961,-10774.7,38.608,0.436
2470000,33,-99.6242,-10795.8,36.5598,0.4341
2480000,39,-99.5602,-10793.1,41.1392,0.4483
2490000,45,-120.174,-10827.8,51.4297,0.4455
2500000,49,-128.488,-10701.2,42.786,0.4387
2510000,55,-139.923,-10820,50.4252,0.4392
2520000,38,-105.072,-10804.9,33.9124,0.4372
2530000,60,-156.369,-10773.5,54.0944,0.4399
2540000,70,-180.388,-10854.7,57.8415,0.4438
2550000,60,-160.069,-10842.2,61.8356,0.4462
2560000,48,-130.601,-10793.7,64.7349,0.444
2570000,42,-127.554,-10783,37.8635,0.4476
2580000,64,-170.111,-10820.6,78.5481,0.4437
2590000,61,-154.386,-10852.8,60.8721,0.4481
2600000,56,-151.17,-10858.7,49.0115,0.4512
2610000,48,-148.335,-10864,25.3312,0.4494
2620000,59,-149.643,-10777.5,68.332,0.454
2630000,50,-144.208,-10808,43.9341,0.4451
2640000,59,-165.196,-10844.4,63.6525,0.4439
2650000,48,-138.806,-10728.7,43.8381,0.4494
2660000,48,-121.602,-10735.6,52.0973,0.4441
2670000,61,-159.585,-10778.4,60.1177,0.4496
2680000,45,-130.26,-10771,38.6344,0.4528
2690000,52,-140.952,-10818.8,49.5243,0.4491
2700000,68,-182.673,-10781.9,64.6959,0.4373
2710000,67,-171.733,-10825.6,63.7203,0.4511
2720000,77,-185.842,-10855.4,68.8722,0.444
2730000,73,-194.17,-10814.4,68.6969,0.4517
2740000,55,-155.007,-10836.6,48.9537,0.447
2750000,58,-157.393,-10809.9,78.4484,0.4513
2760000,56,-136.307,-10789.3,60.8943,0.439
2770000,37,-109.329,-10854,40.2122,0.4468
2780000,62,-177.933,-10805.7,59.3835,0.4393
2790000,56,-160.933,-10816.2,64.7894,0.4429
2800000,44,-138.576,-10825.3,45.9215,0.4454
2810000,63,-178.19,-10761.4,65.191,0.4507
2820000,70,-185.728,-10748.3,60.4091,0.45
2830000,45,-137.352,-10756.2,42.9306,0.4408
2840000,70,-177.325,-10788.7,62.2633,0.439
2850000,59,-158.93,-10802.8,61.5721,0.4472
2860000,55,-157.621,-10769.6,60.928,0.4473
2870000,48,-138.375,-10778,51.72,0.4397
2880000,51,-134.744,-10841.2,40.6957,0.4412
2890000,54,-138.204,-10747.6,71.9959,0.4456
2900000,51,-130.804,-10751.1,43.6367,0.4384
2910000,57,-154.633,-10782,62.935,0.4377
2920000,48,-127.479,-10772.5,53.9475,0.4409
2930000,64,-161.268,-10751.6,69.7795,0.4354
2940000,66,-171.134,-10774.6,59.7484,0.4321
2950000,65,-171.6,-10738.2,61.619,0.4341
2960000,55,-143.384,-10725.8,53.5452,0.4346
2970000,56,-147.767,-10738.7,57.6324,0.4512
2980000,63,-178.158,-10735.4,61.4125,0.4485
2990000,59,-152.367,-10741.6,58.1964,0.443
3000000,65,-169.1,-10746.8,70.4066,0.4429
3010000,79,-200.858,-10793.6,78.565,0.4452
3020000,69,-173.007,-10768.4,67.3097,0.449
3030000,68,-189.397,-10723.8,67.7561,0.4393
3040000,51,-143.089,-10776.7,52.8849,0.4405
3050000,54,-153.452,-10791.3,53.4092,0.435
3060000,64,-173.328,-10816.6,58.357,0.439
3070000,50,-147.645,-10807.1,54.6788,0.4429
3080000,55,-156.836,-10768.3,50.7585,0.4375
3090000,53,-149.895,-10823.8,48.9828,0.4358
3100000,63,-165.269,-10750.8,50.8453,0.4492
3110000,65,-175.343,-10751.1,70.0335,0.4387
3120000,72,-200.405,-10749.3,71.7384,0.4338
3130000,68,-174.419,-10796.8,62.2878,0.4389
3140000,69,-193.969,-10831.4,67.4495,0.4538
3150000,61,-168.492,-10822.4,64.2935,0.455
3160000,56,-144.959,-10802.9,46.9238,0.4441
3170000,55,-146.976,-10863.1,55.3278,0.4442
3180000,57,-146.885,-10733,51.3657,0.4438
3190000,67,-168.293,-10708.5,54.3931,0.4449
3200000,60,-155.899,-10722.6,51.4548,0.4404
3210000,58,-160.418,-10701.1,54.7308,0.4413
3220000,58,-151.492,-10741.5,48.9381,0.4379
3230000,55,-141.486,-10740.6,48.6337,0.4433
3240000,59,-152.975,-10779.5,55.0458,0.4438
3250000,55,-147.832,-10743.2,58.9351,0.4387
3260000,66,-172.771,-10758.4,81.9359,0.4446
3270000,46,-130.845,-10727.8,32.8846,0.4405
3280000,54,-146.673,-10733.9,60.653,0.4324
3290000,47,-123.129,-10703.4,47.8628,0.4392
3300000,47,-129.199,-10705.3,55.2508,0.4302
3310000,42,-114.287,-10769.6,39.5298,0.4394
3320000,45,-125.017,-10756.1,41.1979,0.4393
3330000,49,-136.771,-10729.1,46.299,0.4442
3340000,40,-112.198,-10653.7,46.5824,0.4309
3350000,55,-144.389,-10768.4,51.6719,0.4341
3360000,54,-153.488,-10762.2,60.4134,0.4506
3370000,48,-135.484,-10814.4,47.9617,0.4506
3380000,47,-146.739,-10791.2,53.2737,0.4408
3390000,62,-157.93,-10762.5,66.7549,0.4355
3400000,50,-131.663,-10782.5,57.9749,0.4383
3410000,47,-137.756,-10810,60.183,0.4431
3420000,55,-150.811,-10815.2,51.2006,0.4339
3430000,59,-156.376,-10826.8,62.4203,0.4427
3440000,56,-153.25,-10749,58.7456,0.4404
3450000,57,-156.376,-10805,63.1505,0.4449
3460000,53,-149.339,-10841.6,45.0893,0.449
3470000,46,-122.937,-10896.7,44.0249,0.4495
3480000,48,-137.351,-10820.2,62.9428,0.4587
3490000,43,-130.227,-10853.6,36.4406,0.4411
3500000,52,-140.685,-10820.8,41.4237,0.4558
3510000,45,-126.486,-10774.1,41.3218,0.4447
3520000,45,-124.661,-10755.3,41.8229,0.4438
3530000,44,-123.123,-10792.3,59.9454,0.4429
3540000,66,-179.891,-10824.6,71.6896,0.4328
3550000,47,-125.916,-10810,54.1378,0.4465
3560000,50,-141.218,-10819.8,48.191,0.45
3570000,54,-147.626,-10766.5,62.3802,0.4528
3580000,56,-157.976,-10754.3,67.3706,0.4441
3590000,50,-142.438,-10812.8,50.3293,0.4473
3600000,46,-137.147,-10798.3,44.1628,0.4363
3610000,43,-119.359,-10769.9,48.8199,0.4441
3620000,44,-130.536,-10726.3,38.8871,0.4455
3630000,48,-129.951,-10777.2,57.5227,0.4388
3640000,52,-141.633,-10758.2,45.1504,0.4384
3650000,51,-133.206,-10751.9,68.7868,0.4471
3660000,50,-135.475,-10762.9,57.7426,0.4464
3670000,41,-113.322,-10788.5,54.5437,0.4404
3680000,41,-125.411,-10773.6,37.6485,0.4457
3690000,39,-119.535,-10677.4,37.5962,0.4343
3700000,62,-162.213,-10768.5,58.3454,0.4369
3710000,57,-142.973,-10766.9,49.8411,0.4438
3720000,49,-129.347,-10790,42.8319,0.4495
3730000,43,-125.855,-10805.4,51.2026,0.4459
3740000,52,-147.611,-10805.7,52.2554,0.4422
3750000,47,-131.923,-10797.3,44.9342,0.4456
3760000,59,-152.501,-10724.1,53.3474,0.441
3770000,36,-107.75,-10719.2,32.6221,0.4467
3780000,49,-137.347,-10769,55.5712,0.4414
3790000,54,-152.443,-10768.8,47.0582,0.4394
3800000,45,-117.572,-10779.3,57.8008,0.4442
3810000,50,-126.301,-10813.4,47.7171,0.4396
3820000,37,-108.939,-10817.2,45.899,0.4332
3830000,52,-140.279,-10838.4,51.1376,0.4492
3840000,55,-146.488,-10743.2,57.418,0.4402
3850000,46,-122.487,-10735.6,42.6123,0.4391
3860000,37,-113.496,-10817.5,35.2632,0.4397
3870000,54,-140.96,-10736.2,52.449,0.4391
3880000,48,-125.354,-10809.1,46.8525,0.4456
3890000,53,-142.907,-10772.4,48.0903,0.4442
3900000,45,-115.941,-10778.4,37.3594,0.4471
